OBJECTID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STATE_ID,FDID,FRST_MBRS,EMS_MBRS,TOTALPERS,NUMTRKS,NUMABUL,TOTAL_VEHI,NBR_STA,OWNER,LEVEL,TYPE,SPECIALTY,EMSLICENSE,EMERPHONE,EMS,PERM_ID,GNIS_ID,GlobalID,x2,y2
1,10139844,UNCLASSIFIED,REGIONAL TRAINING FACILITY,503-485-2131,4910 BROOKLAKE ROAD NORTHEAST, ,SALEM,OR,97305,9744,MARION,41047,LOCATED ON THE SOUTHWEST CORNER OF BROOKLAKE RD NE AND PUEBLO AVE NE., , , ,7/24/2006 12:00:00 AM,PHONE,7/24/2006 12:00:00 AM,MANUAL,611519,FIRE FIGHTER TRAINING SCHOOLS,21344317,-122.9588002,45.0476621,NAVTEQ,2007Q2,ONENTITY,YES,TGS, , ,0,0,0,0,0,0,0, , , , , , , , , ,c5a627e4-b4fc-4629-a74a-52e8852e023d,-13687713.0499,5629028.4983
2,10462178,UNCLASSIFIED,MEDFORD FIRE DEPARTMENT STATION 6,541-774-2300,3700 BARNETT ROAD, ,MEDFORD,OR,97504,9262,JACKSON,41029,SOUTH SIDE OF E BARNETT RD .1 MILES EAST OF N PHOENIX RD, , , ,3/11/2008 12:00:00 AM,PHONE,3/11/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,129660634,-122.81215,42.31693,NAVTEQ,2007Q2,ONENTITY,NO,TGS,JACK_FIR24A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,f1c01b87-76cc-4dcf-a201-a09c17eb39a3,-13671387.9526,5208573.4151
3,10462157,UNCLASSIFIED,BAKER CITY FIRE DEPARTMENT,541-523-3711,1616 2ND STREET, ,BAKER CITY,OR,97814,3807,BAKER,41001,NORTHEAST CORNER OF 2ND STREET AND PLACE STREET., , , ,5/9/2008 12:00:00 AM,PHONE,5/9/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,86535409,-117.8317543,44.7739197,NAVTEQ,2007Q2,ONENTITY,YES,TGS,BAKE_FIR02A,00018,0,0,30,0,0,0,1,LOCAL, ,MOSTLY VOLUNTEER, , , ,Y, , ,d92018f9-417d-48dc-bca5-2032ea616a68,-13116972.9816,5586000.3028
4,10462045,UNCLASSIFIED,PORT ORFORD VOLUNTEER FIRE DEPARTMENT,541-332-9066,555 WEST 20TH STREET, ,PORT ORFORD,OR,97465, ,CURRY,41015,LOCATED ON THE SOUTHEAST CORNER OF W 20TH ST AND IDAHO ST, , , ,5/1/2008 12:00:00 AM,PHONE,3/28/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,121101076,-124.4985503,42.7539412,NAVTEQ,2007Q2,ONENTITY,YES,TGS,CURR_FIR01A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,5c00bbcf-c554-4ecb-9206-ab1efa2eff4e,-13859117.1577,5274594.354
5,10461892,UNCLASSIFIED,NETARTS - OCEANSIDE RURAL FIRE PROTECTION DISTRICT STATION 62,503-842-5316,1559 PACIFIC AVENUE NORTHWEST, ,OCEANSIDE,OR,97134, ,TILLAMOOK,41057,SE CORNER OF ROSENBERG LOOP AND PACIFIC AVE NW., , , ,3/12/2008 12:00:00 AM,PHONE,3/12/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,121076798,-123.96924,45.4602686,NAVTEQ,2007Q2,ONENTITY,YES,TGS,TILL_FIR10A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,5bcf40ad-6b1e-4532-9479-05ef83dec062,-13800194.6886,5694275.1949
6,10475595,UNCLASSIFIED,UNITED STATES FOREST SERVICE - TILLER RANGER DISTRICT,541-825-3201,27812 TILLER TRAIL HIGHWAY, ,TILLER,OR,97484,9720,DOUGLAS,41019,LOC ON THE NW CORNER OF AVERY BERRY LOOP AND TILLER TRAIL HWY, , , ,3/21/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,115310,"FIREFIGHTING, FOREST",121728480,-122.9500365,42.9264907,NAVTEQ,2007Q2,BLOCKFACE,YES,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,eed09167-ea93-4522-a46a-6c4c76476be1,-13686737.4226,5300790.1764
7,10479235,UNCLASSIFIED,FREMONT WINEMA NATIONAL FOREST FIRE CENTER,541-947-2151,1000 SOUTH 9TH STREET, ,LAKEVIEW,OR,97630,1906,LAKE,41037,ON THE NORTH SIDE OF S 9TH ST LESS THAN .1 MILE WEST OF S I ST., , , ,4/8/2008 12:00:00 AM,PHONE,5/6/2008 12:00:00 AM,ADJUSTED,115310,"FIREFIGHTING, FOREST",121594721,-120.3513393,42.1790704,NAVTEQ,2007Q2,BLOCKFACE,YES,TGS, , ,0,0,0,0,0,0,0, , , , , , ,N, , ,1e426ab4-4542-46c2-9837-77c1dd26c41c,-13397451.7902,5187841.7598
8,10475046,UNCLASSIFIED,UMATILLA CHEMICAL DEPOT FIRE DEPARTMENT-DOD,541-564-5210,CEDAR STREET,BUILDING 2,HERMISTON,OR,97838, ,UMATILLA,41059, , , , ,3/20/2008 12:00:00 AM,ALT REF,5/6/2008 12:00:00 AM,ADJUSTED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",121075735,-119.4198554,45.8068219,NAVTEQ,2007Q2,BLOCKFACE, ,TGS, ,00484,0,0,15,0,0,0,1,FEDERAL GOVERNMENT - DOD, ,CAREER, , , , , , ,d4941749-0f4d-4387-b5ed-df78a41b607b,-13293759.6007,5749446.6828
9,10470965,UNCLASSIFIED,OREGON AIR NATIONAL GUARD BASE FIRE AND RESCUE - PORTLAND-DOD, ,6801 NORTHEAST CORNFOOT ROAD, ,PORTLAND,OR,97218,2743,MULTNOMAH,41051, , , , ,4/16/2008 12:00:00 AM,ALT REF,5/6/2008 12:00:00 AM,ADJUSTED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",124517406,-122.5943583,45.5744533,NAVTEQ,2007Q2,BLOCKFACE, ,TGS, ,00299,0,0,57,0,0,0,1,FEDERAL GOVERNMENT - DOD, ,CAREER, , , ,N, , ,cbc7cd62-c677-454d-bdcb-eab22b3cebc8,-13647143.5825,5712415.8153
10,10470269,UNCLASSIFIED,CORVALLIS FIRE DEPARTMENT STATION 5,541-766-6475,4950 NORTHWEST FAIR OAKS DRIVE, ,CORVALLIS,OR,97330, ,BENTON,41003,ON THE SOUTH SIDE OF NORTHWEST FAIR OAKS DRIVE LESS THAN A TENTH OF A MILE WEST OF NORTHWEST WALNUT BOULEVARD., , , ,3/26/2008 12:00:00 AM,PHONE,3/26/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED, ,-123.3086856,44.586488,TGS,2007Q2,ONENTITY,YES,TGS, , ,0,0,0,0,0,0,0, , , , , , ,Y, , ,ed280d01-5c3b-4a7c-bdf3-abb9c5d8cce0,-13726662.0963,5556656.1778
